com.samsung.health.sleep_stage;6110061;6;;;;;;;;
2020-09-01 23:30:00.000;b953ce09-66f0-5b6f-5b56-83c7dcd10e3b;;02.09.20 07:28;02.09.20 07:28;40003;UTC+0200;0CI+8SNNP+;com.sec.android.app.shealth;2020-09-01 23:33:00.000;045aadbe-55fb-10e5-a63c-9f4751371afc
2020-09-02 01:25:00.000;b953ce09-66f0-5b6f-5b56-83c7dcd10e3b;;02.09.20 07:28;02.09.20 07:28;40002;UTC+0200;0CI+8SNNP+;com.sec.android.app.shealth;2020-09-02 01:41:00.000;70a382b7-1487-db92-1bed-bff4661e287b
2020-09-02 07:11:00.000;b953ce09-66f0-5b6f-5b56-83c7dcd10e3b;;02.09.20 07:28;02.09.20 07:28;40001;UTC+0200;0CI+8SNNP+;com.sec.android.app.shealth;2020-09-02 07:12:00.000;9cb49f9f-2180-8b91-ea64-5cb8d36fa1fe
2020-09-02 00:21:00.000;b953ce09-66f0-5b6f-5b56-83c7dcd10e3b;;02.09.20 07:28;02.09.20 07:28;40002;UTC+0200;0CI+8SNNP+;com.sec.android.app.shealth;2020-09-02 00:33:00.000;de3dde37-ea3f-c1fb-e771-3104cf67da12
2020-09-02 07:26:00.000;b953ce09-66f0-5b6f-5b56-83c7dcd10e3b;;02.09.20 07:28;02.09.20 07:28;40001;UTC+0200;0CI+8SNNP+;com.sec.android.app.shealth;2020-09-02 07:27:00.000;9700932e-8866-7684-302a-ceafdd583f4c
2020-09-01 23:33:00.000;b953ce09-66f0-5b6f-5b56-83c7dcd10e3b;;02.09.20 07:28;02.09.20 07:28;40002;UTC+0200;0CI+8SNNP+;com.sec.android.app.shealth;2020-09-01 23:43:00.000;ee71b5a6-6800-b48a-4fc2-759861b61dd8
2020-09-02 02:59:00.000;b953ce09-66f0-5b6f-5b56-83c7dcd10e3b;;02.09.20 07:28;02.09.20 07:28;40002;UTC+0200;0CI+8SNNP+;com.sec.android.app.shealth;2020-09-02 03:09:00.000;2d314f17-c23c-f1ae-db4c-ce6f95186933
2020-09-02 23:47:00.000;e8d95a33-1de7-b1f1-186d-6eee491cae80;;03.09.20 07:33;03.09.20 07:33;40001;UTC+0200;0CI+8SNNP+;com.sec.android.app.shealth;2020-09-02 23:48:00.000;a76b0f52-16f6-774d-603b-4f8a147c2d03
2020-09-02 00:33:00.000;b953ce09-66f0-5b6f-5b56-83c7dcd10e3b;;02.09.20 07:28;02.09.20 07:28;40001;UTC+0200;0CI+8SNNP+;com.sec.android.app.shealth;2020-09-02 00:35:00.000;ea763296-308e-cb2a-5bcc-ab92349bcc27
2020-09-03 00:03:00.000;e8d95a33-1de7-b1f1-186d-6eee491cae80;;03.09.20 07:33;03.09.20 07:33;40001;UTC+0200;0CI+8SNNP+;com.sec.android.app.shealth;2020-09-03 00:05:00.000;35d93f1b-26f2-ce40-fd1d-8f941afc0864
2020-09-02 01:23:00.000;b953ce09-66f0-5b6f-5b56-83c7dcd10e3b;;02.09.20 07:28;02.09.20 07:28;40001;UTC+0200;0CI+8SNNP+;com.sec.android.app.shealth;2020-09-02 01:25:00.000;aed06c76-6a3f-a903-8ff7-85a6c8570bff
2020-09-02 03:44:00.000;b953ce09-66f0-5b6f-5b56-83c7dcd10e3b;;02.09.20 07:28;02.09.20 07:28;40002;UTC+0200;0CI+8SNNP+;com.sec.android.app.shealth;2020-09-02 03:57:00.000;7870fa0b-6b55-65b4-bd5f-ce2067096951
2020-09-02 04:06:00.000;b953ce09-66f0-5b6f-5b56-83c7dcd10e3b;;02.09.20 07:28;02.09.20 07:28;40004;UTC+0200;0CI+8SNNP+;com.sec.android.app.shealth;2020-09-02 04:14:00.000;e15df379-b060-2c11-fd11-6c85b3da2f84
2020-09-02 00:54:00.000;b953ce09-66f0-5b6f-5b56-83c7dcd10e3b;;02.09.20 07:28;02.09.20 07:28;40001;UTC+0200;0CI+8SNNP+;com.sec.android.app.shealth;2020-09-02 00:55:00.000;74af5348-2003-7a59-80fe-04133ea7e547
2020-09-03 00:29:00.000;e8d95a33-1de7-b1f1-186d-6eee491cae80;;03.09.20 07:33;03.09.20 07:33;40002;UTC+0200;0CI+8SNNP+;com.sec.android.app.shealth;2020-09-03 00:31:00.000;15c1889c-1a75-6205-8317-5d0fbb772cb9
2020-09-02 01:41:00.000;b953ce09-66f0-5b6f-5b56-83c7dcd10e3b;;02.09.20 07:28;02.09.20 07:28;40003;UTC+0200;0CI+8SNNP+;com.sec.android.app.shealth;2020-09-02 01:48:00.000;9d8f30f9-6dd5-0b94-eaa5-33cb02327236
2020-09-03 00:56:00.000;e8d95a33-1de7-b1f1-186d-6eee491cae80;;03.09.20 07:33;03.09.20 07:33;40002;UTC+0200;0CI+8SNNP+;com.sec.android.app.shealth;2020-09-03 00:57:00.000;e05961a6-f284-9356-ab45-2a7349e624e4
2020-09-02 03:09:00.000;b953ce09-66f0-5b6f-5b56-83c7dcd10e3b;;02.09.20 07:28;02.09.20 07:28;40003;UTC+0200;0CI+8SNNP+;com.sec.android.app.shealth;2020-09-02 03:13:00.000;169f173d-9f2d-a138-5116-488b584bf423
2020-09-02 02:58:00.000;b953ce09-66f0-5b6f-5b56-83c7dcd10e3b;;02.09.20 07:28;02.09.20 07:28;40001;UTC+0200;0CI+8SNNP+;com.sec.android.app.shealth;2020-09-02 02:59:00.000;5c61b588-d054-5b64-6ff7-1c03dfda8335
2020-09-02 00:55:00.000;b953ce09-66f0-5b6f-5b56-83c7dcd10e3b;;02.09.20 07:28;02.09.20 07:28;40004;UTC+0200;0CI+8SNNP+;com.sec.android.app.shealth;2020-09-02 01:04:00.000;46fb1900-0f6c-45ee-fc3d-62b2dd4875f0
2020-09-02 05:28:00.000;b953ce09-66f0-5b6f-5b56-83c7dcd10e3b;;02.09.20 07:28;02.09.20 07:28;40001;UTC+0200;0CI+8SNNP+;com.sec.android.app.shealth;2020-09-02 05:29:00.000;29f26446-e113-0aba-0b4b-eabf5ab1a3e9
2020-09-02 01:48:00.000;b953ce09-66f0-5b6f-5b56-83c7dcd10e3b;;02.09.20 07:28;02.09.20 07:28;40002;UTC+0200;0CI+8SNNP+;com.sec.android.app.shealth;2020-09-02 02:23:00.000;0d53febd-921a-20d4-914d-c1da8d116804
2020-09-02 03:57:00.000;b953ce09-66f0-5b6f-5b56-83c7dcd10e3b;;02.09.20 07:28;02.09.20 07:28;40001;UTC+0200;0CI+8SNNP+;com.sec.android.app.shealth;2020-09-02 04:00:00.000;5dbc118d-dbe7-9699-a6c0-fdab006a3363
2020-09-03 01:27:00.000;e8d95a33-1de7-b1f1-186d-6eee491cae80;;03.09.20 07:33;03.09.20 07:33;40002;UTC+0200;0CI+8SNNP+;com.sec.android.app.shealth;2020-09-03 01:40:00.000;83e6052b-0773-5c0f-48d6-211d51c291e4
2020-09-02 04:14:00.000;b953ce09-66f0-5b6f-5b56-83c7dcd10e3b;;02.09.20 07:28;02.09.20 07:28;40002;UTC+0200;0CI+8SNNP+;com.sec.android.app.shealth;2020-09-02 05:04:00.000;37b86dec-f991-fc64-e2c7-b589a0afa541
2020-09-02 06:14:00.000;b953ce09-66f0-5b6f-5b56-83c7dcd10e3b;;02.09.20 07:28;02.09.20 07:28;40001;UTC+0200;0CI+8SNNP+;com.sec.android.app.shealth;2020-09-02 06:15:00.000;674eff13-66c7-d4c1-c42d-47ecc066135a
2020-09-02 03:13:00.000;b953ce09-66f0-5b6f-5b56-83c7dcd10e3b;;02.09.20 07:28;02.09.20 07:28;40001;UTC+0200;0CI+8SNNP+;com.sec.android.app.shealth;2020-09-02 03:14:00.000;15ec58c8-c9b6-d443-5b75-c000d52c93d9
2020-09-02 03:36:00.000;b953ce09-66f0-5b6f-5b56-83c7dcd10e3b;;02.09.20 07:28;02.09.20 07:28;40003;UTC+0200;0CI+8SNNP+;com.sec.android.app.shealth;2020-09-02 03:44:00.000;3d8a3581-fee2-ce3f-adb9-da6ecdafeb43
2020-09-03 02:10:00.000;e8d95a33-1de7-b1f1-186d-6eee491cae80;;03.09.20 07:33;03.09.20 07:33;40002;UTC+0200;0CI+8SNNP+;com.sec.android.app.shealth;2020-09-03 02:18:00.000;39864093-62f9-3676-220d-395efb01b7fd
2020-09-02 06:41:00.000;b953ce09-66f0-5b6f-5b56-83c7dcd10e3b;;02.09.20 07:28;02.09.20 07:28;40001;UTC+0200;0CI+8SNNP+;com.sec.android.app.shealth;2020-09-02 06:42:00.000;ae05afc6-5033-7f95-c6aa-ed52748fa9e0
2020-09-02 04:00:00.000;b953ce09-66f0-5b6f-5b56-83c7dcd10e3b;;02.09.20 07:28;02.09.20 07:28;40002;UTC+0200;0CI+8SNNP+;com.sec.android.app.shealth;2020-09-02 04:01:00.000;db75f47c-e930-0c2c-e13b-b50f8013d219
2020-09-03 02:55:00.000;e8d95a33-1de7-b1f1-186d-6eee491cae80;;03.09.20 07:33;03.09.20 07:33;40002;UTC+0200;0CI+8SNNP+;com.sec.android.app.shealth;2020-09-03 03:13:00.000;9de0ca51-f948-1a71-a150-012564011106
2020-09-02 05:04:00.000;b953ce09-66f0-5b6f-5b56-83c7dcd10e3b;;02.09.20 07:28;02.09.20 07:28;40004;UTC+0200;0CI+8SNNP+;com.sec.android.app.shealth;2020-09-02 05:09:00.000;dd464a62-b183-6c2c-c2a3-19781bb3a74d
2020-09-03 03:37:00.000;e8d95a33-1de7-b1f1-186d-6eee491cae80;;03.09.20 07:33;03.09.20 07:33;40004;UTC+0200;0CI+8SNNP+;com.sec.android.app.shealth;2020-09-03 03:45:00.000;8bff9109-f06a-78b6-085e-c25e7d11c973
2020-09-02 05:44:00.000;b953ce09-66f0-5b6f-5b56-83c7dcd10e3b;;02.09.20 07:28;02.09.20 07:28;40001;UTC+0200;0CI+8SNNP+;com.sec.android.app.shealth;2020-09-02 05:45:00.000;b93bb5c0-c77a-f9de-9706-3e1a8a1a6414
2020-09-03 05:18:00.000;e8d95a33-1de7-b1f1-186d-6eee491cae80;;03.09.20 07:33;03.09.20 07:33;40001;UTC+0200;0CI+8SNNP+;com.sec.android.app.shealth;2020-09-03 05:19:00.000;e0bea05c-1644-8bea-d7c5-0d6ae700d760
2020-09-02 04:05:00.000;b953ce09-66f0-5b6f-5b56-83c7dcd10e3b;;02.09.20 07:28;02.09.20 07:28;40001;UTC+0200;0CI+8SNNP+;com.sec.android.app.shealth;2020-09-02 04:06:00.000;c26fc7b5-be2c-4397-3d8b-208dba31feb1
2020-09-02 06:31:00.000;b953ce09-66f0-5b6f-5b56-83c7dcd10e3b;;02.09.20 07:28;02.09.20 07:28;40001;UTC+0200;0CI+8SNNP+;com.sec.android.app.shealth;2020-09-02 06:33:00.000;1e03e02a-84b7-d542-59f9-5931f24aadb3
2020-09-02 05:29:00.000;b953ce09-66f0-5b6f-5b56-83c7dcd10e3b;;02.09.20 07:28;02.09.20 07:28;40002;UTC+0200;0CI+8SNNP+;com.sec.android.app.shealth;2020-09-02 05:44:00.000;aa4c374f-0d28-c532-74ea-8dbcd8cb346f
2020-09-02 06:15:00.000;b953ce09-66f0-5b6f-5b56-83c7dcd10e3b;;02.09.20 07:28;02.09.20 07:28;40004;UTC+0200;0CI+8SNNP+;com.sec.android.app.shealth;2020-09-02 06:31:00.000;7af55bd8-6109-c528-e38b-fb647d0d54dc
2020-09-02 05:24:00.000;b953ce09-66f0-5b6f-5b56-83c7dcd10e3b;;02.09.20 07:28;02.09.20 07:28;40002;UTC+0200;0CI+8SNNP+;com.sec.android.app.shealth;2020-09-02 05:28:00.000;3d10d48a-5d1f-0f34-7da5-9d41ce2b2bc9
2020-09-02 07:06:00.000;b953ce09-66f0-5b6f-5b56-83c7dcd10e3b;;02.09.20 07:28;02.09.20 07:28;40001;UTC+0200;0CI+8SNNP+;com.sec.android.app.shealth;2020-09-02 07:07:00.000;42ed40fe-7666-a96b-26ae-fa1107cd8e2e
2020-09-03 05:41:00.000;e8d95a33-1de7-b1f1-186d-6eee491cae80;;03.09.20 07:33;03.09.20 07:33;40004;UTC+0200;0CI+8SNNP+;com.sec.android.app.shealth;2020-09-03 05:46:00.000;d4a4db4c-942c-f3e1-dfde-f5f2edfc1d8f
2020-09-02 06:05:00.000;b953ce09-66f0-5b6f-5b56-83c7dcd10e3b;;02.09.20 07:28;02.09.20 07:28;40004;UTC+0200;0CI+8SNNP+;com.sec.android.app.shealth;2020-09-02 06:14:00.000;4e76f86f-a15a-c87b-0fd6-f67be5fbf7b8
2020-09-02 06:42:00.000;b953ce09-66f0-5b6f-5b56-83c7dcd10e3b;;02.09.20 07:28;02.09.20 07:28;40004;UTC+0200;0CI+8SNNP+;com.sec.android.app.shealth;2020-09-02 07:06:00.000;b7289e54-1ab4-8a48-e793-6ad3c0d791c6
2020-09-02 07:21:00.000;b953ce09-66f0-5b6f-5b56-83c7dcd10e3b;;02.09.20 07:28;02.09.20 07:28;40001;UTC+0200;0CI+8SNNP+;com.sec.android.app.shealth;2020-09-02 07:22:00.000;a2980edc-733e-79e1-62e0-8c161ef74236
2020-09-02 07:17:00.000;b953ce09-66f0-5b6f-5b56-83c7dcd10e3b;;02.09.20 07:28;02.09.20 07:28;40002;UTC+0200;0CI+8SNNP+;com.sec.android.app.shealth;2020-09-02 07:21:00.000;f81e33b4-ea18-0538-7581-661112fc3dc9
2020-09-02 23:40:00.000;e8d95a33-1de7-b1f1-186d-6eee491cae80;;03.09.20 07:33;03.09.20 07:33;40001;UTC+0200;0CI+8SNNP+;com.sec.android.app.shealth;2020-09-02 23:41:00.000;7acf026e-9ee8-cca0-9af7-db15825c6c5c
2020-09-02 23:30:00.000;e8d95a33-1de7-b1f1-186d-6eee491cae80;;03.09.20 07:33;03.09.20 07:33;40002;UTC+0200;0CI+8SNNP+;com.sec.android.app.shealth;2020-09-02 23:40:00.000;5a875f2d-8906-f52d-4989-f5edd67412c5
2020-09-02 07:16:00.000;b953ce09-66f0-5b6f-5b56-83c7dcd10e3b;;02.09.20 07:28;02.09.20 07:28;40001;UTC+0200;0CI+8SNNP+;com.sec.android.app.shealth;2020-09-02 07:17:00.000;b156c9b6-3d4a-b017-36f5-a272e1b23de9
2020-09-02 23:57:00.000;e8d95a33-1de7-b1f1-186d-6eee491cae80;;03.09.20 07:33;03.09.20 07:33;40002;UTC+0200;0CI+8SNNP+;com.sec.android.app.shealth;2020-09-02 23:59:00.000;6b07dcb9-db84-a7ce-f7f1-ec3711ddd70a
2020-09-02 23:59:00.000;e8d95a33-1de7-b1f1-186d-6eee491cae80;;03.09.20 07:33;03.09.20 07:33;40001;UTC+0200;0CI+8SNNP+;com.sec.android.app.shealth;2020-09-03 00:00:00.000;ecb9fcc4-154f-001c-5360-a8b72b128837
2020-09-02 06:37:00.000;b953ce09-66f0-5b6f-5b56-83c7dcd10e3b;;02.09.20 07:28;02.09.20 07:28;40002;UTC+0200;0CI+8SNNP+;com.sec.android.app.shealth;2020-09-02 06:41:00.000;52764e0a-f98c-c212-2c0a-e8c98f71e7cf
2020-09-02 23:28:00.000;e8d95a33-1de7-b1f1-186d-6eee491cae80;;03.09.20 07:33;03.09.20 07:33;40001;UTC+0200;0CI+8SNNP+;com.sec.android.app.shealth;2020-09-02 23:30:00.000;491ed4c7-18c6-007b-2e2f-13747065021c
2020-09-02 07:12:00.000;b953ce09-66f0-5b6f-5b56-83c7dcd10e3b;;02.09.20 07:28;02.09.20 07:28;40002;UTC+0200;0CI+8SNNP+;com.sec.android.app.shealth;2020-09-02 07:16:00.000;8ace1c90-3fe8-fb62-50e7-c8234c635ebc
2020-09-03 00:14:00.000;e8d95a33-1de7-b1f1-186d-6eee491cae80;;03.09.20 07:33;03.09.20 07:33;40002;UTC+0200;0CI+8SNNP+;com.sec.android.app.shealth;2020-09-03 00:28:00.000;d8a91328-651d-4f8f-de44-aa5b60920f2e
2020-09-02 23:22:00.000;e8d95a33-1de7-b1f1-186d-6eee491cae80;;03.09.20 07:33;03.09.20 07:33;40002;UTC+0200;0CI+8SNNP+;com.sec.android.app.shealth;2020-09-02 23:28:00.000;f05d2b74-c3c3-03e0-23e5-47f72e60168e
2020-09-02 23:48:00.000;e8d95a33-1de7-b1f1-186d-6eee491cae80;;03.09.20 07:33;03.09.20 07:33;40002;UTC+0200;0CI+8SNNP+;com.sec.android.app.shealth;2020-09-02 23:56:00.000;5ce6c4d0-397d-6ae0-9226-f7bdf9f5b86f
2020-09-03 00:34:00.000;e8d95a33-1de7-b1f1-186d-6eee491cae80;;03.09.20 07:33;03.09.20 07:33;40002;UTC+0200;0CI+8SNNP+;com.sec.android.app.shealth;2020-09-03 00:53:00.000;d51fe78d-61c5-7c8c-822f-e1f1a07e62aa
2020-09-03 00:05:00.000;e8d95a33-1de7-b1f1-186d-6eee491cae80;;03.09.20 07:33;03.09.20 07:33;40002;UTC+0200;0CI+8SNNP+;com.sec.android.app.shealth;2020-09-03 00:07:00.000;0b4abb8d-e9d0-c045-7480-b15b4cb5ef6a
2020-09-02 23:56:00.000;e8d95a33-1de7-b1f1-186d-6eee491cae80;;03.09.20 07:33;03.09.20 07:33;40001;UTC+0200;0CI+8SNNP+;com.sec.android.app.shealth;2020-09-02 23:57:00.000;4df040f0-e834-d3d9-a03a-8b4fa10fe25f
2020-09-03 01:20:00.000;e8d95a33-1de7-b1f1-186d-6eee491cae80;;03.09.20 07:33;03.09.20 07:33;40002;UTC+0200;0CI+8SNNP+;com.sec.android.app.shealth;2020-09-03 01:25:00.000;5474ff08-be80-41e0-c1fd-b67b4854602e
2020-09-03 00:08:00.000;e8d95a33-1de7-b1f1-186d-6eee491cae80;;03.09.20 07:33;03.09.20 07:33;40004;UTC+0200;0CI+8SNNP+;com.sec.android.app.shealth;2020-09-03 00:14:00.000;d54f1c9b-5f1c-5a1e-b980-d252d22718f3
2020-09-03 00:31:00.000;e8d95a33-1de7-b1f1-186d-6eee491cae80;;03.09.20 07:33;03.09.20 07:33;40001;UTC+0200;0CI+8SNNP+;com.sec.android.app.shealth;2020-09-03 00:32:00.000;db6b5f76-fde3-b17a-15cb-a6a57c65bf2c
2020-09-03 00:07:00.000;e8d95a33-1de7-b1f1-186d-6eee491cae80;;03.09.20 07:33;03.09.20 07:33;40001;UTC+0200;0CI+8SNNP+;com.sec.android.app.shealth;2020-09-03 00:08:00.000;7a0d307f-c9e3-4e5d-fdfc-8f1b8a3dcf4c
2020-09-03 00:57:00.000;e8d95a33-1de7-b1f1-186d-6eee491cae80;;03.09.20 07:33;03.09.20 07:33;40001;UTC+0200;0CI+8SNNP+;com.sec.android.app.shealth;2020-09-03 00:58:00.000;2b23a6fe-f258-1cf1-b84b-e30d56dceb6b
2020-09-03 06:07:00.000;e8d95a33-1de7-b1f1-186d-6eee491cae80;;03.09.20 07:33;03.09.20 07:33;40002;UTC+0200;0CI+8SNNP+;com.sec.android.app.shealth;2020-09-03 06:14:00.000;ccb820e6-6546-9f51-1101-0e6eb6eede8f
2020-09-03 00:32:00.000;e8d95a33-1de7-b1f1-186d-6eee491cae80;;03.09.20 07:33;03.09.20 07:33;40002;UTC+0200;0CI+8SNNP+;com.sec.android.app.shealth;2020-09-03 00:33:00.000;561d910f-2490-5f7c-f9a7-8701e4afe559
2020-09-03 00:33:00.000;e8d95a33-1de7-b1f1-186d-6eee491cae80;;03.09.20 07:33;03.09.20 07:33;40001;UTC+0200;0CI+8SNNP+;com.sec.android.app.shealth;2020-09-03 00:34:00.000;d3600139-9ec1-5241-d285-8310b4a61c94
2020-09-03 01:59:00.000;e8d95a33-1de7-b1f1-186d-6eee491cae80;;03.09.20 07:33;03.09.20 07:33;40002;UTC+0200;0CI+8SNNP+;com.sec.android.app.shealth;2020-09-03 02:01:00.000;a65fb4cb-460d-7375-2b4e-b19f716aa948
2020-09-03 01:40:00.000;e8d95a33-1de7-b1f1-186d-6eee491cae80;;03.09.20 07:33;03.09.20 07:33;40003;UTC+0200;0CI+8SNNP+;com.sec.android.app.shealth;2020-09-03 01:46:00.000;2b41c076-0862-6358-3291-1c08aef50264
2020-09-03 00:58:00.000;e8d95a33-1de7-b1f1-186d-6eee491cae80;;03.09.20 07:33;03.09.20 07:33;40002;UTC+0200;0CI+8SNNP+;com.sec.android.app.shealth;2020-09-03 01:05:00.000;897fb1af-73a4-3546-0691-2f0d58aca6cf
2020-09-03 02:47:00.000;e8d95a33-1de7-b1f1-186d-6eee491cae80;;03.09.20 07:33;03.09.20 07:33;40001;UTC+0200;0CI+8SNNP+;com.sec.android.app.shealth;2020-09-03 02:48:00.000;53612a2d-6070-7557-8775-e31e20a6eb9b
2020-09-03 03:32:00.000;e8d95a33-1de7-b1f1-186d-6eee491cae80;;03.09.20 07:33;03.09.20 07:33;40002;UTC+0200;0CI+8SNNP+;com.sec.android.app.shealth;2020-09-03 03:36:00.000;37aac807-55ac-bc56-c5b3-5f320219061f
2020-09-03 05:13:00.000;e8d95a33-1de7-b1f1-186d-6eee491cae80;;03.09.20 07:33;03.09.20 07:33;40001;UTC+0200;0CI+8SNNP+;com.sec.android.app.shealth;2020-09-03 05:14:00.000;d5182f9b-df8b-102e-3d7f-c63c131ca48a
2020-09-03 01:05:00.000;e8d95a33-1de7-b1f1-186d-6eee491cae80;;03.09.20 07:33;03.09.20 07:33;40003;UTC+0200;0CI+8SNNP+;com.sec.android.app.shealth;2020-09-03 01:20:00.000;336632bf-d582-7485-62e9-740f1d99ad9e
2020-09-03 05:35:00.000;e8d95a33-1de7-b1f1-186d-6eee491cae80;;03.09.20 07:33;03.09.20 07:33;40004;UTC+0200;0CI+8SNNP+;com.sec.android.app.shealth;2020-09-03 05:40:00.000;dcdf3b19-20c6-2ee2-5ab6-3f2d354e78ff
2020-09-03 02:18:00.000;e8d95a33-1de7-b1f1-186d-6eee491cae80;;03.09.20 07:33;03.09.20 07:33;40003;UTC+0200;0CI+8SNNP+;com.sec.android.app.shealth;2020-09-03 02:30:00.000;d2490be2-9da5-b5b1-4c37-d31b6d3585af
2020-09-03 01:46:00.000;e8d95a33-1de7-b1f1-186d-6eee491cae80;;03.09.20 07:33;03.09.20 07:33;40002;UTC+0200;0CI+8SNNP+;com.sec.android.app.shealth;2020-09-03 01:57:00.000;c85fbb31-73a1-3ca2-996f-18cfeb795f1e
2020-09-03 01:57:00.000;e8d95a33-1de7-b1f1-186d-6eee491cae80;;03.09.20 07:33;03.09.20 07:33;40001;UTC+0200;0CI+8SNNP+;com.sec.android.app.shealth;2020-09-03 01:59:00.000;878276d3-b122-8984-2db6-22081fe2a3e2
2020-09-03 06:46:00.000;e8d95a33-1de7-b1f1-186d-6eee491cae80;;03.09.20 07:33;03.09.20 07:33;40001;UTC+0200;0CI+8SNNP+;com.sec.android.app.shealth;2020-09-03 06:47:00.000;228ba655-066b-9754-5a0b-54484f2b70d2
2020-09-03 05:57:00.000;e8d95a33-1de7-b1f1-186d-6eee491cae80;;03.09.20 07:33;03.09.20 07:33;40002;UTC+0200;0CI+8SNNP+;com.sec.android.app.shealth;2020-09-03 06:06:00.000;18b8f88e-23d3-7dd3-bd19-7815e4a0949d
